"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3717","parametrized methods","chromium","Tue Oct 01 16:52:40 EEST 2024","passed","Tue Oct 01 16:52:43 EEST 2024","","tests\usePageObjects.spec.ts","",""
"","5851","navigate to form page","chromium","Tue Oct 01 16:52:34 EEST 2024","passed","Tue Oct 01 16:52:40 EEST 2024","","tests\usePageObjects.spec.ts","",""
